Ciudad,latitud,longitud
Arica,-18.485489,-70.291897
Putre,-18.475252,-70.293418
Iquique,-20.230974,-70.136614
Pozo Almonte,-20.250535,-70.122951
Antofagasta,-23.654726,-70.396271
Calama,-22.455180,-68.928029
Tocopilla,-22.085659,-70.193007
Copiapó,-27.366896,-70.328219
Chañaral,-26.345115,-70.623901
Vallenar,-28.576161,-70.757771
Ovalle,-30.604284,-71.196752
Coquimbo,-29.956211,-71.335781
Illapel,-31.631220,-71.166251
Hanga Roa,-27.149787,-109.433736
Los Andes,-32.833190,-70.594274
La Ligua,-32.449607,-71.232086
Quillota,-32.880519,-71.250304
San Antonio,-33.592376,-71.605557
San Felipe,-32.749456,-70.721665
Valparaíso,-33.046372,-71.616545
Quilpué,-33.049482,-71.440312
Rancagua,-34.171947,-70.730462
Pichilemu,-34.387068,-72.007218
San Fernando,-34.586842,-70.989211
Cauquenes,-35.967831,-72.323287
Curicó,-34.977622,-71.255257
Linares,-35.846294,-71.599322
Talca,-35.423778,-71.646994
Lebu,-37.609781,-73.648311
Los Ángeles,-37.463773,-72.357640
Concepción,-36.820782,-73.047468
Chillán,-36.608060,-72.099595
Temuco,-38.735764,-72.592424
Angol,-37.806515,-72.705968
Valdivia,-39.817317,-73.238174
La Unión,-40.295275,-73.079317
Castro,-42.479889,-73.763973
Puerto Montt,-41.469729,-72.942527
Osorno,-40.576817,-73.119027
Chaitén,-42.916606,-72.716689
Coyhaique,-45.571823,-72.067196	
Chile Chico,-46.540960,-71.721731
Puerto Aysén,-45.403319,-72.686165
Cochrane,-47.253438,-72.573807
Punta Arenas,-53.163885,-70.917299
Puerto Natales,-51.731054,-72.497217
Porvenir,-53.293848,-70.370636
Puerto Williams,-54.935440,-67.605970
Antártica Chilena,-55.030779,-67.697574
Colina,-33.204731,-70.676612
Puente Alto,-33.618356,-70.597154
San Bernardo,-33.588761,-70.714816
Melipilla,-33.686206,-71.217509
Santiago,-33.444976,-70.690301
Talagante,-33.663470,-70.929959
